#TYPE Deserialized.Selected.Microsoft.HyperV.PowerShell.VirtualMachine
"VMName","State","PSComputerName","RunspaceId","PSShowComputerName"
"blwcsup20ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlbirt20ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlprint21ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlrt21ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlsup22ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlsup23ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlsup25ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlweb21ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlweb26ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwlws20ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwsbirt20ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwscoin20ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwspush20ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwssup20ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"blwsweb21ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"ctrlmags01ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"iibite01ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"iibite02ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"iibite03ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"iibite04ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"iibsa201ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"iibsa202ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"iibsa203ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"iibsa204ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
"odswatreps01ocd.cfs.betasys.com","Running","WH740S03OCD","6fcae847-38e2-415f-8f7e-5afde0161b67","True"
